curated_smiles,mouse_skin_LD50
CNC(=O)Oc1ccccc1OC(C)C,2.18711618076412
CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,2.7123703350384814
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.22506178153597
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.151636794822161
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.044912748505988
O=C(Cl)OCCOC(=O)Cl,1.9707605143983244
CC(=O)N(C)C,0.95785660362314
O=c1c2ccccc2c(=O)c2c1cc(Cl)c1[nH]c3c([nH]c12)c(Cl)cc1c(=O)c2ccccc2c(=O)c13,1.3107527715760403
CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,2.443849475707047
C=CC(=O)OCC,1.5238210845769775
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,2.3411227891202637
CCOP(=S)(OCC)SCCSCC,4.245280083368774
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,2.8025274412781207
CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,3.3175322406842707
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,2.0440434661641693
O=C(CF)Nc1ccc(Br)cc1,3.514326967131085
CCOP(=O)(F)OCC,3.649315383186592
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,2.7756246679145486
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.5513676450036926
CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,3.0294477961295065
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,2.6332219487650264
ClCCSCCCl,3.237830484998038
CN1CSC(=S)N(C)C1,1.830061785860262
CCN(CCCl)CCCl,4.116717555220193
ClC=C[As](Cl)Cl,4.237457859312183
NC(=O)C#CC(N)=O,2.2254332861472643
ClCCN(CCCl)CCCl,4.465654731561783
CN=C=S,1.6039647947407
Cc1cccc(C)c1O,2.1231660818884346
CN=C=O,1.4961994855498617
NC(=O)CF,3.35533881589536
Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,3.426444386070962
OCCSCCCl,2.3699421671369354
Cl[As](Cl)c1ccccc1,4.746116317108911
CCCCN1CCCC1,2.190779088241974
CNC(=O)Oc1cccc(C(C)(C)C)c1,1.891661096650893
CCC12COP(OC1)OC2,4.607789997764174
CNC(=O)Oc1cc(C)c(N)c(C)c1,4.443227213981721
CNC(=O)Oc1cccc(C)c1,1.9169590156013576
CN(C)C#N,2.748777027071938
CCN(CC)C(=O)c1ccccc1,2.0181299718733228
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1.5031680658777185
CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.827246255563332
CCN(CC)Cc1cccnc1,2.1943213673425537
CN(CCC(N)CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)O)C(=N)N,3.2833485214555718
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,2.968039893630192
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.4267455192339824
ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,1.9773943309933784
CNC(=O)C(C)SCCSP(=O)(OC)OC,2.294047765910083
C[SiH](C)c1ccc([SiH](C)C)cc1,1.811633086639607
CCOP(=S)(OCC)SCCS(=O)CC,3.043058809220493
COP(=S)(OC)SCC(=O)N(C)C=O,2.808334219420701
CNC(=O)Oc1ccccc1C(C)C,2.076595498676935
COP(=S)(OC)Oc1ccc(C#N)cc1,2.084976430830233
CCS(=O)CC(C)SP(=O)(OC)OC,2.374109845475457
CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1,2.8023525373540803
CC=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1[nH]c(OC)c(OC)c(=O)c1C,5.217247827724028
O=c1cccccc1NNc1ccccc1,2.3268517911886475
NC1=C(Cl)C(=O)c2ccccc2C1=O,2.0162308238590243
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.4656195171063118
CCO[Si](C)(CCCCN)OCC,3.6593329480212047
CCC(C)c1ccccc1OC(=O)NC,2.785063816239705
COP1(=S)OCc2ccccc2O1,2.23794165906538
CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I,2.603034308990906
CCCCCCCCCCCCCCCCCC(=O)NC[n+]1ccccc1,1.884553784527147
O=C(O)CS,3.2922513568879657
N=C(N)c1ccc(Oc2ccc(C(=N)N)cc2)cc1,3.326153159337619
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,2.0614215108046308
CCS(=O)CSP(=S)(OC(C)C)OC(C)C,2.369556934424629
CN(C(=O)CF)c1cccc2ccccc12,2.768744067450251
COP(=O)(F)OC,3.55103977282588
Cc1cc(Cl)ccc1N=CN(C)C,2.941579889628471
CNC(=O)Oc1ccccc1C1OCCO1,2.128640580195099
CCOP(=O)(OCC)SCSc1ccc(Cl)cc1,3.1718686694519262
CCCOP(=O)(OCCC)Oc1ccc(SC)cc1,3.2902458538104065
COC(=O)C=C(C)OP(=O)(OC)OC,4.2713555596326565
Cc1cc(=O)[nH]o1,1.6949954498964208
CNC(=O)Oc1cc(C)c(N(C)C=O)c(C)c1,2.373410419419617
CNC(=O)Oc1cc(C)c(NC=O)c(C)c1,2.3468300449985366
CNC(=O)Oc1ccc(NC)c(C)c1,3.5723219103611785
CNC(=O)Oc1ccc(N)c(C)c1,4.025322735421974
CNC(=O)Oc1ccc(N(C)C=O)c(C)c1,2.647860040662518
CNC(=O)Oc1ccc(NC=O)c(C)c1,2.61954618051568
CNC(=O)Oc1cc(C)c(NC)c(C)c1,4.41551796240566
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,1.8305206645206
CC(C)=CC1C(C(=O)O)C1(C)C,1.5269489296255363
CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,2.703754092318599
COC(=O)CCC[N+](C)(C)C,2.4887594617493094
COP(=S)(OC)SCCNC(C)=O,2.712182259766224
COC(=O)N(CCCl)N=O,3.4291894522855726
CC(C)=CC1C(C(=O)Cl)C1(C)C,1.6427135149607013
CCCCCCCCCCCCCCCCCC(=O)O,2.05611783707799
CN(C)C(CSC(N)=O)CSC(N)=O,2.3753892360543785
CC=C(C)C(OC)C(C)C=C(C)C=CC/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,4.347507974610114
CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,3.2104238782814853
NC(=O)OCC(O)C(O)C(N)C(=O)NC(C(=O)O)C1OC(n2cc(CO)c(=O)[nH]c2=O)C(O)C1O,2.6261769200617224
CC1OC(OC2C(O)C(O)C(O)C(O)C2O)C(N)CC1NC(=N)C(=O)O,1.5790584054296768
CSc1nnc(C(C)(C)C)c(=O)n1N,2.33101001143674
NS(=O)(=O)CCl,1.4135277507523003
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,1.5625870670704158
N#CC(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.086893471309456
CCN(CC)CCS[PH](C)=O,6.114539819039673
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.6883771024116894
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.6888219211057978
C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1.757959031724168
COP(=O)(OC)OC1=C(Cl)C2C=CCC12,2.0979822642101857
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.5345362927645405
CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,1.3926453740640692
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,1.8578584582797653
C#CCc1cc(COC(=O)C2C(C=C(C)C)C2(C)C)c(C)o1,1.7787270325451956
O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,1.4344315686254578
CCN(CC)C(=O)SCc1ccc(Cl)cc1,1.4112593277270615
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.4014206465421504
CCN(OC(=O)c1ccccc1)C(=O)c1c(OC)ccc(Cl)c1OC,1.3847678543391344
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,1.5614408303287874
COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1.7981311147093466
CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,2.3340174783175103
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,1.6999313920593224
CCCSP(=S)(OCC)Oc1ccc(SC)cc1,1.8095018048436085
COP(S)(=NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],1.881253378414976
CCOP(S)(=NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],1.822641359350942
CCOP(=O)(Oc1ccc(Cl)cc1Cl)Oc1ccc(Cl)cc1Cl,1.6648758759155713
COP(=S)(OC)SCCSC(C)C,3.035406388391166
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,2.674128468480766
NC(=S)NNCNNC(N)=S,2.589478208643928
O=C1C(Cl)=C(Cl)C(=O)N1c1ccc(F)cc1,1.716088523813851
Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,1.884649738853556
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,1.4522817195700732
CC(Oc1ccc2ccccc2c1)C(=O)Nc1ccccc1,1.9872937677065063
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,1.5925031885935772
CC1OC(CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O,3.764408943359696
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,1.7394204334759038
CCN(CC)C(=O)c1ccc(C)cc1C,1.6048208886814437
C=CCON=C(CCC)C1C(=O)CC(C)(C)C(C(=O)OC)C1=O,2.3698461569967635
Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1,1.4303073054958042
COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,1.7797854620234117
Cc1ccc(S(=O)(=O)Oc2c(C(=O)c3ccc(Cl)cc3Cl)c(C)nn2C)cc1,1.943810970593137
CCCCCCCCCCCCN1CCCCCC1=O,1.5463637269052093
COc1nn(-c2ccccc2OC)c(=O)o1,1.6477740502688296
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,2.087353261108463
CN(C)C(=O)SCCCCOc1ccccc1,1.5006600621853696
Oc1ccccc1,1.098588354066508
Cn1c(=O)sc2cccc(Cl)c21,1.902355408423653
OCC[S+](CCO)CCSCCCl,4.2145206550964325
O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,2.911523154528806
CCCCCCC[As](Cl)Cl,3.787150406539175
CCCCCC[As](Cl)Cl,4.0625782240865
CCCCS(=O)(=O)NC1CCCCC1,1.4626158432397574
Cc1ccc(C(C)C)c2c(=O)cc(N(C)C)oc12,3.690766492301575
CNC(=O)Sc1ccc(OS(C)(=O)=O)cc1,1.718209292834566
N=C(N)NCC(O)CC(O)(C(=O)O)C1OC(n2cc(CO)c(N)nc2=O)C=CC1NC(=O)C(N)CO,2.012411998310187
CON(C)C(=O)Nc1ccc(OCCc2ccc(C)cc2)cc1,1.7984918123804776
COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O,4.902912284716857
CCCCOC(NC(=O)c1ccccc1O)C(Cl)(Cl)Cl,1.8333179900698755
CCCCCCCCCCCCCCCCCC[N+](C)(C)C,2.2908773267338467
CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,1.816228038889112
CC(C)(NC(=O)C(Br)C(C)(C)C)c1ccccc1,1.7955338335629532
O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(Cl)c1Cl,2.65119657614775
CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,1.5714852232060244
CCCCC(CC)C(=O)OCC(COC(=O)C=Cc1ccc(OC)cc1)OC(=O)C=Cc1ccc(OC)cc1,2.9761839162190693
O=C1OC(O)C(C(Cl)Cl)=C1Cl,3.223386100430661
CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,1.8486656553493772
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,2.2453465931446184
O=C(Nc1ccc(Cl)cc1C(O)c1ccccc1)c1ccncc1,1.830965706088987
Cc1ccc(C(=O)COc2c(C(=O)c3ccc(Cl)c(C)c3Cl)c(C)nn2C)cc1,1.93582858530404
Cc1c(Cl)ccc(OC(C)C(=O)Nc2ccccc2)c1Cl,1.811852383192374
COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(C(=O)O)cnn2C)n1,2.5649606803561307
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,2.598620912835962
O=C(O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1,2.2734943505795786
c1ccc(CNc2ncnc3nc[nH]c23)cc1,1.6537044354851558
CNC(=O)Oc1ccc(C)c(C)c1,2.0772927906774674
CCN(CC)C(=O)Cc1ccccc1,2.077535957450117
CCCCOc1ccc(CC(=O)NO)cc1,1.6498642583325758
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,2.9500011671466715
COP(=O)(OC)Sc1ccc(Cl)cc1,2.4387469455660025
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,1.4323226000818208
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,1.845665973854852
O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,1.81801859723791
CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,2.0509478732814284
CCOc1ccc(NC(=O)OC(C)C)cc1OCC,1.7280695711595615
COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1,1.820139694607702
