curated_smiles,frog_subcutaneous_LDLo
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,4.246164965379731
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,3.167904859621337
Oc1ccccc1O,2.837714668284911
O=C1CCCC1,1.447767683577912
Oc1ccc(O)cc1,2.7630810499880067
CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.3116606366254397
N#CCc1ccccc1,2.027353314924806
CC(=O)C=C(C)C,1.8457401436758056
O=C(O)C(=O)O,2.0753106657609326
N#C[K],3.035536464112935
CC(N)Cc1c[nH]c2ccccc12,2.9401353139487543
CC1OC(C[N+](C)(C)C)CC1O,6.241207678468801
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.042164108647925
CNCC(O)c1ccc(O)c(O)c1,1.5639720589002617
N#CCC(=O)O,1.8157922374367037
COc1ccc2c(c1)[nH]c1c(C)nccc12,2.849730536468985
CC12CCC(CC1=O)C2(C)C,2.8023089753941903
COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC(C)=O)CC43O)C2)OC(C)C1O,5.408787765667364
Cc1ccc(C(C)C)cc1O,3.301669385299196
Cc1cc(O)cc(O)c1,3.394938238274249
CC1CCC2N(C1)CC1C(C(O)C(O)C3(O)C1CC14OC5(O)C(O)CCC1(C)C5CC(O)C34)C2(C)O,3.008293502702285
Cc1ccccc1C#N,2.165656013091088
N#CC(O)c1ccccc1,5.346189920391316
O=C(O)c1ccccc1,3.0867974643741065
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,2.5768231399947386
CC(C)CCC#N,1.7833719933438514
N#CCCCC#N,1.4965468207731614
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,2.9839703994149525
O=[N+]([O-])c1cccc(O)c1,2.939238367959541
O=C(O)O,2.394619762289413
O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,3.5913744416861566
Nc1ccc(N)cc1,4.034002429099417
CC(C)CC#N,1.3399950805064564
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.164842648091533
O=C1CCCCCCN1,2.706502714929746
O=C1CCCCN1,1.5190969944399122
CCN(CC)CC1COc2ccccc2O1,2.94704140525522
C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,4.444519448394566
Nc1cccc(C(F)(F)F)c1,2.912699399580063
CN1CCCC1c1cccnc1,4.43199597967996
C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.7844889107581934
NC1CCCc2ccccc21,2.593938495627193
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.305574909065707
CN1C2CCC1CC(OC(=O)C1CCC(C(=O)Oc3ccccc3)(C3CC4CCC(C3)N4C)c3ccccc31)C2,3.035605821904582
CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,2.8951230502239604
CC1=NCCc2c1[nH]c1cc(O)ccc21,2.903612996792479
C1CCNCC1,1.9301846522986197
CC12CCC(CC1=NO)C2(C)C,3.181978634607617
C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,5.424416814585741
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.6772159725722555
CCN(CCCl)CC1COc2ccccc2O1,3.708837147359473
CNC(C)C(O)c1ccccc1,2.5753060556990417
Oc1ccccc1,2.80491998681288
CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,5.217508158746316
CCCCCOc1ccc2c(c1)[nH]c1c(C)nccc12,3.12768778753985
