curated_smiles,women_oral_TDLo
CN(C)CCOC(c1ccccc1)c1ccccc1,3.5170462699348244
CCOc1ccc(NC(N)=O)cc1,2.4776204064166043
N#C[K],2.8136877144965786
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.7204679014609465
CC(N)C(O)c1ccccc1,5.480607636921846
CN(C)C(=O)Oc1ccc[n+](C)c1,4.366099540692295
CCOP(=S)(OCC)SCCSCC,5.535314694731292
CNC(C)Cc1ccccc1,3.872846514494805
OC(O)C(Cl)(Cl)Cl,2.393681289347474
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,4.360774805007187
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.871950371276785
CC(C)NCC(O)COc1cccc2ccccc12,3.368579223862405
NC1CONC1=O,3.230844715350752
Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.2542869869346407
C#CCC1(OC(N)=O)CCCCC1,2.3551520851514707
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.7565311347222616
CCNC(C)Cc1cccc(C(F)(F)F)c1,3.807799898484577
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.526957964641082
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,4.876173080542667
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.755487627659617
Cc1ncc([N+](=O)[O-])n1CCO,3.892771509566805
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,5.743931311756332
CC(C)C(Br)C(=O)NC(N)=O,2.658335546422557
COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,3.714340239697983
CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.95072311166639
O=C(O)O,1.8894697839695076
N#C[Hg]C#N,4.40247804564705
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,5.700047165377332
CNCCC=C1c2ccccc2CCc2ccccc21,3.568536367859038
CN(C)CCC=C1c2ccccc2CSc2ccccc21,4.817272950480253
Nc1ccncc1,5.894486829445198
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,3.5662034319557785
CCCC(CCC)C(=O)O,2.414168328345299
CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,4.434622123136269
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.252238761553515
CNC(=O)Oc1cccc2c1OC(C)(C)C2,5.265713810640021
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,6.392140039282941
CNC(=O)ON=CC(C)(C)S(C)=O,6.582035992317489
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,3.381637497449638
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,5.874959336993448
Cc1cccc(C)c1OCC(C)N,2.697188159380329
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.213293247087548
O=P1(N(CCCl)CCCl)NCCCO1,3.7635760610735103
C=CCOc1ccccc1OCC(O)CNC(C)C,3.219704019338048
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,3.541441945254525
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,4.823378034679781
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,6.526421042827249
COP(N)(=O)SC,2.5933229952532844
CNCCCC12CCC(c3ccccc31)c1ccccc12,3.855078048350684
Clc1cccc(N2CCNCC2)c1,5.594792403403814
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,4.220258784921292
CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C,3.06592810591987
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,3.644332403064901
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,6.38720230354226
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,5.101785920070194
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,7.433146172576531
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.543137670964368
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],4.49028337598619
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,7.780027560592994
COCC[Hg+],3.3575303062892887
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,4.899426682165909
Cc1cccc(C)c1NC1=NCCCS1,4.440005329119426
CN1CCOC(c2ccccc2)c2ccccc2C1,4.227621078448697
CN1Cc2c(N)cccc2C(c2ccccc2)C1,5.678215997553439
CN(C)CCC(c1ccccc1)c1ccccn1,4.234716090786427
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,4.507331232015055
NCC(CC(=O)O)c1ccc(Cl)cc1,4.292196354041864
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,6.535568790899698
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,4.221318043351818
CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.411377662435059
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,4.844367811720999
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,4.538643351214885
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,3.345053709414359
COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,4.329646428536732
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,3.5367005045987288
CCOc1ccccc1OCC1CNCCO1,3.898174653344296
CCCCC1(CC)C(=O)NC(=O)NC1=O,3.177200985721361
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],6.019641697400867
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,4.821088852021898
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,4.813437534288939
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.594470819469203
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1,6.6325662998900246
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,5.187964658672509
CNC(C)C(O)c1ccccc1,5.218104673117946
O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,3.9436285268852633
O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,6.4833268445260055
Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,6.564685786532781
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.947302989049849
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,5.020376477163393
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.19020439127665
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,4.150585175985792
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,4.578813923919113
CP(=O)(O)CCC(N)C(=O)O,1.9908138632999897
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,4.402603195942636
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,6.263295718192176
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,5.522343123045113
O=C1C(=C(O)C(c2ccccc2)c2ccc(Cl)cc2)C(=O)c2ccccc21,4.874856228004083
NC(=O)OCC(COC(N)=O)c1ccccc1,3.230892113480881
NC(CCC(=O)O)C(=O)O,3.468731230635349
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,5.215389021962984
COCCc1ccc(OCC(O)CNC(C)C)cc1,3.2510197926758275
CC(CS)C(=O)N1CCCC1C(=O)O,4.337039739920377
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.520283042863305
