curated_smiles,mammal (species unspecified)_subcutaneous_LD50
C[N+](C)(C)Cc1cccc(O)c1,4.37564793989223
C[N+](C)(C)CCCc1ccc(O)cc1,3.589498325890968
CN1CCCC2(C)c3cc(O)ccc3CC1C2(C)O,3.0650649116344035
CC1C2Cc3ccc(O)cc3C1(C)CCCN2C,3.352338543196532
CN1CCCC2(C)CC1Cc1ccc(O)cc12,4.182405265997578
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,3.2322983933009595
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,3.532023997611122
CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,2.8603547789995187
CN1CCc2cc(O)ccc2C1,3.668705329169637
C[N+]1(C)CCc2cc(O)c(O)cc2C1,2.385279983389846
Cc1ccoc1CN1CCC2(C)c3cc(O)ccc3CC1C2C,3.009053633773698
CN1CCN(c2cc3c(nn2)Oc2cc([N+](=O)[O-])ccc2N3C)CC1,2.8717239174896645
CN(C)CCCN1c2ccc([N+](=O)[O-])cc2Oc2nnc(Cl)cc21,3.012313573123073
CN(C)CCCN1c2ccc([N+](=O)[O-])cc2Oc2nnccc21,2.7980657054517923
CCN(CC)CCOc1cc2c(nn1)Oc1cc([N+](=O)[O-])ccc1N2C,3.05041117669798
CN1CCN(c2cc3c(nn2)Oc2cc(N)ccc2N3C)CC1,2.827226096832574
CN(C)CCCN1c2ccc(N)cc2Oc2nnc(Cl)cc21,2.9997230489802664
CN(C)CCCN1c2ccccc2Oc2nnccc21,2.732933879173624
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.455440273221629
CN1CCc2c(ccc(O)c2O)C1,3.952354054069167
CN1CCc2cc(O)c(O)cc2C1,2.6513240584051863
CCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.747890717748036
CCCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.769960425341502
CCCCCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.7680983449186565
CCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.14672266825136
CCCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.166038353590694
CCCCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.120413912080624
CCCCCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.2894192343972883
CCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.107797227141838
CCCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.162616349410523
CCCCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.1108228176048267
CCCCCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.355204800679613
CCCCN(CCCC)CCOC(=O)Nc1ccc(OCCC)cc1C,2.862763271248895
CCCCOc1ccc(NC(=O)OCCN(CCCC)CCCC)c(C)c1,2.578131281251386
CCCCCOc1ccc(NC(=O)OCCN(CCCC)CCCC)c(C)c1,2.5939325956885724
CCCOc1ccc(NC(=O)OCCN2CCOCC2)c(C)c1,2.554159258977758
CCCCOc1ccc(NC(=O)OCCN2CCOCC2)c(C)c1,2.5268972973591315
CCCCCOc1ccc(NC(=O)OCCN2CCOCC2)c(C)c1,2.5446372174088725
CCCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,3.103708218577771
CCCCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,3.097533708158376
CCCCCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,3.2000054395673208
CCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.162616349410523
CCCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.1711187194920774
CCCCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.280571182382709
CCCCCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.3453633502721445
CCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,2.906401043084938
CCCCCCCCCCCCCCCCCC(=O)Oc1ccc(N(CCCl)CCCl)cc1,2.921335257127366
CCCCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.6440473090593097
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,2.398043110044484
CN(C)CCCc1ccc(O)cc1,4.554520655811598
CCN(CC)CCN(Cc1ccccc1Br)c1ccccn1,3.5337804491241047
CCN(CC)CCN(Cc1ccc(Br)cc1)c1ccccn1,3.412958278710637
CN(C)CCN(Cc1ccccc1Br)c1ccccn1,3.7179057341287263
CCN(CC)CCN(Cc1cccc(Cl)c1)c1ccccn1,3.3261500851954517
CCN(CC)CCN(Cc1cccc(I)c1)c1ccccn1,3.112370577731389
CCCCCCCOc1ccccc1NC(=O)OCC[N+]1([O-])CCCCC1,2.7999295495193195
CCCCOC(=O)Nc1ccccc1OCC(O)CNC(C)C,3.561718951992034
CCCCOC(=O)Nc1ccccc1OCC(O)CNC(C)(C)C,3.589972699434011
CCCCOC(=O)Nc1cccc(OCC(O)CNC(C)C)c1,3.967040914286671
CCCCOC(=O)Nc1cccc(OCC(O)CNC(C)(C)C)c1,4.08233392071041
CCOC(=O)Nc1ccccc1OCC(O)CNC(C)(C)C,2.947845273287176
CCOC(=O)Nc1cccc(OCC(O)CNC(C)C)c1,3.5224398373459795
CCOC(=O)Nc1cccc(OCC(O)CNC(C)(C)C)c1,3.640654968918376
CCOC(=O)Nc1ccccc1OCC(O)CNC(C)C,2.9599464830120183
CCCc1cc(CN(C)C)cc(CCC)c1O,3.593601702109208
CCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.7835296012291573
COc1ccccc1NC(=O)OCCN1CCOCC1,2.748690277232209
COc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.748690277232209
CCOc1ccccc1NC(=O)OCCN1CCOCC1,2.769895511245307
CCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.887023396146265
CCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,3.011962132754565
CCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.790113383138209
CCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.906341777089121
CCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.7302505180334395
CCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.809431764081064
CCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.8279272930231127
CCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.8279272930231127
CCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.8279272930231127
CCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.94257722608091
CCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.8456672130728538
CCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.8456672130728538
CCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.862710847276782
CCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.862710847276782
CCCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.976020808575001
CCCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.879110795566944
CCCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.879110795566944
CCCCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.894913913800412
CCCCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.894913913800412
CCCCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.894913913800412
CCCCCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.910162120827975
CCCCCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.910162120827975
CCCCCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.910162120827975
Cc1cccc(CN(C)C)c1O,2.740983418398284
CN(C)CCN(Cc1cccc(Br)c1)c1ccccn1,3.6060553713277335
CCCCCCCCOc1ccc(C(=O)NCC(C)C)cc1C(=O)Nc1ccc(C(=O)NCC[N+](CC)(CC)CC)cc1,2.900074951423184
CCCCCCCCNC(=O)c1ccc(OCCCCCCCC)c(C(=O)Nc2ccc(C(=O)NCC[N+](C)(CC)CC)cc2)c1,2.972264113535928
