curated_smiles,guinea pig_subcutaneous_LDLo
CNC(=O)Oc1cc(C)cc(C(C)C)c1,3.918602724609922
COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1,7.1984639478919785
CN1CCCC1c1cccnc1,4.034055971007922
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.544800763153937
CCP(=S)(OC)Sc1ccc(C)cc1,3.993589639419562
Cn1c(=O)c2[nH]cnc2n(C)c1=O,3.025226325695704
CCN(CC)CCOc1cc(C)ccc1C(C)C,3.095862970750208
COc1cc(C#N)ccc1OP(=S)(OC)OC,3.4365601706217404
CCN(CC)CCOC(=O)Nc1ccccc1,3.197400030119955
CNC(=O)Oc1cccc([N+](C)(C)C)c1,5.922764890349553
CC=CC=O,1.7214842007049571
N#CC=Cc1ccccc1,2.9971914088930327
CC1OCC(C[N+](C)(C)C)O1,6.329701541992407
CCC(C)(C)c1ccc(OP(=O)(NC)OC)c(Cl)c1,3.485355102171742
Oc1ccc2ccccc2c1CN1CCCCC1,3.0815885155203597
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(O)c(OC)cc21,4.765875223791045
CN(C(=O)CF)c1cccc2ccccc12,5.336945791517246
CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,2.6315339016742767
CP(=S)(Oc1ccccc1)Oc1ccc(C#N)cc1,4.762372424507479
CC1=NCCc2c1[nH]c1cc(O)ccc21,2.824431750744854
COP(=O)(OC)Oc1ccc(Cl)cc1Cl,3.7340569749626655
CC[N+](C)(CC)c1cccc(OC(=O)N(C)C)c1,6.400278889564094
CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.018973580138877
COP(N)(=O)SC,4.149625496020571
CCOP(N)(=O)SC,4.491806967572398
C[N+]1(CC2Cc3cc(C(=O)c4ccc5c(c4)OC(C[N+]4(C)CCCCC4)C5)ccc3O2)CCCCC1,6.088745445912159
CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,3.4819053427022424
COP(=O)(OC)OCCNC(=O)C=C(C)Cl,3.433988925407429
CN(C)CCn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,3.5338254207242548
CNC(=O)Oc1ccc(NC(C)=O)cc1,3.318516184851698
O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,2.2175036844235367
CNC(=O)Oc1cccc2ccc(C)nc12,3.3349360326906687
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14,7.3526789384939795
CNC(=O)ON=C(SC)c1ccc(Cl)cc1,3.412846788511961
CCCC(=O)N1CCN(CC=Cc2ccccc2)CC1,2.833134357115154
CCC(=O)Nc1cccc(OC(=O)NC)c1,3.3468300449985366
CNC(=O)CSP(C)(=S)OC,3.93097754194442
COP(C)(=S)SCSc1ccc(Cl)cc1,3.4754125681329238
COP(=S)(OC)Oc1ccc(Cl)cc1C#N,3.443527396205252
CCOP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,3.6295105149678974
CC(C)(C)C(=O)C(Cl)Cl,1.9269877484599736
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.75639721861988
COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,3.5760330875826827
COP(=O)(OC)OCNC(=O)C=C(C)Cl,3.7119927132823647
CCOP(=O)(NC(C)C)SCC(=O)NCOC,4.453804355480856
CNC(C)C(O)c1ccccc1,2.616044681789984
Oc1ccccc1,2.320437103682864
CCN(CC)CCN(CC)c1ccccc1,2.945192755029246
C=CC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.371634846921683
CCC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.375339829616582
CNC(=O)Oc1cc([N+](C)(C)C)ccc1C,6.348880943431998
C=CC[N+](C)(C)c1ccc(OC(=O)NC)cc1C,5.919660249638776
CCC1(c2ccccc2)NC(=O)NC1=O,2.6596024130126152
CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC,2.9596732842569518
CCCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.821398225273642
COc1ccc(Cc2nn(CCN(C)C)c(=O)c3ccccc23)cc1,3.5281746823806706
CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,2.7594547993231098
CC(=O)Nc1nnc(S(N)(=O)=O)s1,2.1707524646630825
CCN(CC)CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C,3.4609719720505616
CC=CC#N,2.4649364291217326
NCC(O)c1ccccc1,2.163580269279133
CCCCc1ccc2c(S(=O)(=O)O)cc(CCCC)cc2c1,2.6026757099519693
CC(C)c1cc(OC(=O)N(C)C)ccc1[N+](C)(C)C,6.423863280224231
