curated_smiles,rabbit_subcutaneous_LDLo
CC[Pb](CC)(CC)CC,4.004654491759633
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.566283075120315
CC(C)(C#N)N=NC(C)(C)C#N,3.516434886226687
CC(C)C#N,3.885279530806087
CC(O)C#N,4.135737965516235
ClCC(Cl)Cl,2.42620210284358
ClC=C(Cl)Cl,1.863286502135124
NNC(N)=S,3.813576223406194
ClC(Cl)C(Cl)Cl,2.525951341248012
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,4.294932236370507
Oc1cccc(O)c1O,2.100752969451338
O=C(O)C(O)C(O)C(=O)O,2.176340183207199
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.502884114186048
Cc1cc(C)c(N)c(C)c1,5.788586131968433
O=[N+]([O-])c1ccccc1O,1.9129094292371929
COc1ccccc1O,1.9969982296022115
C1CCN2CC3CC(CN4CCCCC34)C2C1,3.418388526884076
c1ccc2ncccc2c1,2.8101047655358884
C=CCc1ccc2c(c1)OCO2,2.210018718391942
Cc1ccccc1O,2.380773851464262
Oc1ccccc1Cl,2.131375502121386
Cc1cc(N)ccc1N,2.7406151542492365
Cc1ccc(N)cc1N,2.484908137371913
O=Cc1ccco1,2.2836855901411552
N#Cc1ccccc1,2.7123297545331506
NNc1ccccc1,3.63606242042738
ONc1ccccc1,3.338966191580695
Cc1ccc(C#N)cc1,2.035322244596081
CCC1CCC(C)NC1,3.104592940625691
CCOC(=O)CC#N,1.904304926578188
Cc1ccc(O)cc1,2.556865110519943
C=CC=O,2.35074407147993
ClCCCl,1.9162784405734392
CCC#N,2.962842681201242
NCCN,2.0799044676667204
C=CCO,2.764026607692037
C#CCO,3.3507440714799297
Cc1cccc(O)c1,2.335016360903587
Nc1cccc(N)c1,2.7329724334354366
CCCC#N,3.839522040245412
N#CCC#N,4.041807041252444
CCOC=O,1.8696951111278035
c1cc[nH]c1,2.428724256467288
N#CCCC#N,3.3472757928957666
c1ccncc1,1.995097477264052
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.606894189028445
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2.513601101892028
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.6573083207440864
COC(=O)c1ccccc1O,1.5538801722507811
c1ccc2cnccc2c1,2.1111347611998696
Oc1ccccc1O,2.6896521328294734
C[N+]1(C)CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.2421396744056623
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.02581565710122
ClC(Cl)=C(Cl)Cl,1.8772508954438312
Nc1ccc([As](=O)(O)O)cc1,3.0355417997209466
C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.3913974022429705
Cc1ccccc1N=Nc1c(N)ccc2ccccc12,2.4171859447216426
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.8232345185502137
Nc1cccc2ccccc12,2.6787884013611567
CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.788781891345101
Oc1ccc2ccccc2c1,1.6817626807751789
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.121180532614623
CC(=O)OCc1ccccc1,1.5745434330981891
N#CCc1ccccc1,3.369775995747012
CC(=O)C=C(C)C,2.0675888932921622
O=C(O)CC(=O)O,1.8175328177871808
N#C[Na],4.347844298640291
CCC1(CC)C(=O)NC(=O)NC1=O,2.8351088337486137
C1CN1,2.935194783852778
CC(N)Cc1c[nH]c2ccccc12,2.5421953052767168
CC1OC(C[N+](C)(C)C)CC1O,3.809843914309814
CC(N)Cc1ccccc1,3.8299788171266576
OC(O)C(Cl)(Cl)Cl,2.218543382312236
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.692790429010252
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.422857840157365
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.31622148630393
CNCC(O)c1ccc(O)c(O)c1,4.26294206323628
NCCCCN,1.945242023254906
NCCc1c[nH]c2ccccc12,2.2047167274004837
N#CCC(=O)O,1.6509819887907111
COc1ccc2c(c1)[nH]c1c(C)nccc12,3.0258217955246662
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,3.562190525480605
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,3.217199585661888
CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.197915680018454
CC(=O)N1C=C(C2CCCCN2)CCC1,2.920759685886116
O[N+](=Nc1ccccc1)c1ccccc1,2.860028580673676
Cc1ccc(C(C)C)cc1O,2.176730648690896
N#CCl,3.4876402825447137
C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,5.809435805201344
CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.763137368310237
Cc1ccccc1C#N,2.277757524994215
N#CC(O)c1ccccc1,4.346189920391316
O=C(O)c1ccccc1,1.7857674687101257
O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,3.1221885632954973
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,2.912615241917932
N#CS,2.1776175803384685
NC(=S)NC(N)=S,3.1310312962066744
CC(C)CCC#N,3.038101969354863
CCSC#N,3.764161182236904
N#CCCCC#N,3.718395570389518
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,3.8505849763520312
CSC#N,3.5630061870617937
CS(=O)(=O)F,4.447592108821538
COc1cc2c3c(c1O)-c1c(cccc1OC)CC3N(C)CC2,4.192262113380898
O=C(O)O,1.838317261522126
C=CCc1cc(OC)c2c(c1)OCO2,2.3295425070946423
NNC(=O)c1ccccc1,3.125430233021002
CC(C)CC#N,3.282288947610756
CN1CCCCC1,2.394350975874245
CCCCSC#N,4.584334994268546
O=[N+]([O-])OCCO[N+](=O)[O-],2.7048994435397904
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.766902639419495
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,3.5268133818318743
CCCC1CCCCN1,3.201502953633747
CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,5.403339329865778
CCN1CCCCC1,3.053861772675893
COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,4.504688565699215
C[n+]1ccccc1,3.3717003625724464
CCN(CC)CC1COc2ccccc2O1,2.867860159207595
CC(=O)NN,2.805260571610366
CCCC1=NCCCC1,2.3986863535081926
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.816658817589689
CN(C)c1ccc(N)cc1,3.356019479841132
CCN(CC)c1ccc(N)cc1,2.817570657740454
CCCC1(CCC)C(=O)NC(=O)NC1=O,2.9844229719429944
N=C(N)c1ccc(N)cc1,3.440684233765137
C=CCn1c(=O)c2c(ncn2C)n(C)c1=O,3.3428804227815774
N=C(N)Nc1nc2ccccc2s1,3.283859571393565
COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1,6.800523939219941
CN1CCCC1c1cccnc1,4.511177225727585
NC1CCCc2ccccc21,3.468999759018893
N#CSc1ccc(N)cc1,3.875657285305413
C1CCC(NC2CCCCC2)CC1,2.5594828915385395
N=C(N)c1cccc(N)c1,2.549955338118032
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.277546185465464
CCN(CC)CCOc1cc(C)ccc1C(C)C,3.095862970750208
C[n+]1cccc2ccccc21,2.681834970317015
C[n+]1ccc2ccccc2c1,2.681834970317015
Clc1cccc(Cl)c1NC1=NCCN1,3.8847915891000513
NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)CO,5.691244755612339
CC1OCC(C[N+](C)(C)C)O1,6.903732809720126
CCOC(=O)c1ccc(C(=N)N)cc1,2.9072170971118227
CC1=NCCc2c1[nH]c1cc(O)ccc21,2.824431750744854
N=C(N)CCCCCCCCCCCC(=N)N,4.079895434825657
COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,3.7377204748132
C1CCNCC1,2.453063397578957
CC[N+](C)(CC)c1cccc(OC(=O)N(C)C)c1,6.312233260036253
N#CSCSC#N,3.813570981667607
CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,2.755732145364296
O=C(O)CC(O)C(=O)O,1.6088727343052325
COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,6.469466190430965
O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,2.673435640073261
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14,7.130830188877622
CCCCC1(CCCC)C(=O)NC(=O)NC1=O,2.681789188337681
Cn1cnc2c1c(=O)[nH]c(=O)n2C,2.2556752470739774
C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,5.33547573124896
CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1,5.239585243475472
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.1766136220030705
N=C(N)Nc1ccc(O)cc1,3.183827545580359
N=C(N)C(O)c1ccccc1,2.303876164335924
CCOC(=O)c1ccc(NC(=N)N)cc1,2.815399651870614
c1nnc(NCNc2nncs2)s1,2.6320096065984444
O=[N+]([O-])C1(Br)COCOC1,2.627363808029024
Nc1ccccc1,1.9690849396153571
CCCCC1(CC)C(=O)NC(=O)NC1=O,3.326845652765201
CCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,3.613253205987936
CCN(CCCl)CC1COc2ccccc2O1,3.93068589697583
CNC(C)C(O)c1ccccc1,2.664499688294012
Oc1ccccc1,2.181257927959954
CN1CCC23c4c5ccc(Oc6ccc([N+](=O)[O-])cc6[N+](=O)[O-])c4OC2C(O)C=CC3C1C5,3.65459522713343
CN(CCCN1c2ccccc2Sc2ccc(Cl)cc21)C1CCCC1,2.571668078403695
CCN(CC)CCN(CC)c1ccccc1,2.945192755029246
CCC(C)C(=O)OC1CCC2(C)C3CC(O)C4C5(O)C(CC42OC13O)C1CN2CC(C)CCC2C(C)(O)C1C(O)C5OC(=O)C(C)(O)CC,5.540251244675935
C=CC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.070604851257702
CCC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.375339829616582
CNC(=O)Oc1cc([N+](C)(C)C)ccc1C,6.0478509477680165
C=CC[N+](C)(C)c1ccc(OC(=O)NC)cc1C,5.69781150002242
CCN(CC)CCOC(=O)n1c2ccccc2c2ccccc21,2.190887519468104
N=C(Nc1ccccc1)c1ccccc1,2.8215245932041477
CCC1(c2ccccc2)NC(=O)NC1=O,3.1401433799974305
C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,2.258194527672299
COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,4.439881926315327
O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,3.320559604212828
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.874148286017588
C[N+]1(C)CCCCC1,2.756681740995332
CC(C)(C#N)C(C)(C)C#N,3.657049475505112
CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.168290136076134
COc1ccc(C(=N)N)cc1OC,2.69826445489459
C=[N+](C)O,1.3015797539009666
N=C(N)CCCCCCCCCCC(=N)N,4.150695051142714
CC(C)c1cc(OC(=O)N(C)C)ccc1[N+](C)(C)C,6.12283328456025
