curated_smiles,guinea pig_subcutaneous_LD50
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.2575249850238444
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,3.347583686308582
Clc1ccc(CC(=CCN2CCCC2)c2ccccc2)cc1,2.4001823226422254
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.1321759169160845
CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,5.5203105665624
CCOC(C)=O,1.467884230062003
N#C[Na],3.92683898589956
CN(C)CCOC(c1ccccc1)c1ccccc1,3.73203056121483
CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.366542247546078
CN(C)CCN(Cc1ccccc1)c1ccccn1,3.930040118440755
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,7.031910474282372
CC(C)NNC(=O)c1ccncc1,2.3900708825500585
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.740673690886803
CP(=O)(F)OC1CCCCC1,6.2556559625602
O=[As](Cl)(Cl)C=CCl,6.047893734060473
NC1CONC1=O,2.008995965734396
Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.5611465262593454
CCN(CC)CCN1c2ccccc2Sc2ccccc21,2.821666345224573
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,2.1931342586031266
COC(=O)CF,5.663083430458716
C[N+](C)(C)CCOC(=O)CF,5.03928189372774
CC(CN1c2ccccc2Sc2cccnc21)N(C)C,3.8426944586494303
c1cncc(C2CCCCN2)c1,3.867724549241397
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,4.075774632593791
ClCCSCCCl,3.900588316679612
CCN(CC)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,3.295680959719087
CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)C1=O,3.830172362084361
CC(CNC1CCCCC1)OC(=O)c1ccccc1,3.1971393417057112
CC1CCCCN1CCCOC(=O)c1ccccc1,2.9533544407598598
CCc1cc(C(N)=S)ccn1,2.480396352175406
ClC=C[As](Cl)Cl,5.316639105359807
OCC1OC(n2cnc3cncnc32)C(O)C1O,4.225705480832482
ClCCN(CCCl)CCCl,4.465654731561783
CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,3.140212260987557
CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,3.8762780458729287
CC(N)CCCC(=O)O,1.3396998224867327
COc1ccc2c(c1O)-c1c3c(cc4c1C(C2)N(C)CC4)OCO3,3.2113395029483387
CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,5.528278066474078
CNC1(C)C2CCC(C2)C1(C)C,3.033153859058121
N=C(N=C(N)N)NCCc1ccccc1,4.070878111766385
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,3.7582009375052015
CN(C)C(=N)N=C(N)N,2.942885916006322
CCC(CN)=C(c1ccccc1)c1ccccc1,3.851635450125199
COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,4.340041646502899
CN(C)CCN1c2ccccc2C(=O)NC1c1ccccn1,2.897808833901412
Cc1cccc(C)c1NC(=O)C1CCCCN1C,3.418431764620015
CN(C)CCN(Cc1ccccc1)c1ccccc1,3.364085155997996
CNC(C)C(S)c1ccccc1,2.8451076216952518
O=c1[nH]nc(-c2ccncc2)o1,2.3374885460614543
C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.3136821693536893
N#CC1CCCC1=O,2.9375656507991508
O=C(O)C(F)C(=O)O,4.785511346407151
Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.972374018370428
CN(C)CCOC(C)(c1ccccc1)c1ccccc1,3.388985560832097
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,3.8429069492019408
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.166926054339648
CN(C)CCN(Cc1cccs1)c1ccccc1,3.269522950887929
CC(C)CCCC(C)NN,3.94963693426624
CNCCOC(c1ccccc1)c1ccccc1C,3.443366743036356
CCC1NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(CO)NC(=O)CC(c2ccccc2)NC(=O)C(CO)NC1=O,3.0587645207228573
N#CC=CCCC#N,3.335633899925787
COP(=S)(OC)SCCNC(C)=O,2.784064267072349
CC(CN1c2ccccc2S(=O)(=O)c2ccccc21)N(C)C,3.98175822139722
NC1Cc2ccccc2C1O,2.5716884555842188
CC1OC(n2ccc(NC(=O)c3ccc(NC(=O)C(C)(N)CO)cc3)nc2=O)CCC1OC1OC(C)C(N(C)C)C(O)C1O,4.645343656898537
COc1cc(CC2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,2.304142381146013
CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,2.5742026354689
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.114471422748735
CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.668876783370168
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,3.616062872105576
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.923888305913644
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,3.1504097355337994
CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,6.549438565098352
CN(C)CCC(c1ccccc1)c1ccccn1,3.343417628524042
CC(C)NC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,2.870951502703816
CC(C)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1,4.313820535720873
CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,2.752184933083518
Cc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.151956889982094
CC(C(O)c1ccccc1)N(C)C,2.6996076335037427
ClC=C[As](Cl)C=CCl,6.066990837265685
CCOP(C)(=O)SCCN(C(C)C)C(C)C,7.502841511517702
CNC(C)C(O)c1ccccc1,2.821487423849613
CC(O)CN(CC(C)O)N=O,1.5198253160778286
CCN(CC)CC(=O)Nc1ccc(C(C)=O)cc1,2.4919322060438307
CCNC1CC(N)C(OC2OC(CN)=CCC2N)C(O)C1OC1OCC(C)(O)C(NC)C1O,3.361259629368148
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,4.0102487868513865
CC[N+](C)(CC)c1cccc(OC(=O)NC)c1,6.388568095350338
CC(=O)CN(CC(C)=O)N=O,2.8873345574160063
c1ccc(C(OCCN2CCCOCCC2)c2ccccc2)cc1,2.8135169404197287
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.610342233207372
CCCCN(CCCC)CCOCCCOC(=O)c1ccc(N)cc1,3.942631748172632
CCN(CC)CCOCCCOC(=O)c1ccc(N)cc1,3.977568735843248
CN(C)CCOCCCOC(=O)c1ccc(N)cc1,4.311494673700906
CCCN(CCC)CCOCCCOC(=O)c1ccc(N)cc1,4.093487686442082
COc1cccc(C2(O)CCCCC2CN(C)C)c1,3.031418357890772
Cc1cc(C(CCN(C)C)c2ccc(Cl)cc2)ccn1,2.939492187308188
Cc1cc(C(CCN(C)C)c2ccccc2)ccn1,3.22938658210054
Cc1cc(C(CCN(C)C)c2ccccc2)cc(C)n1,3.127758988131718
Clc1ccc(C(OCCN2CCCC2)c2ccccc2)cc1,3.420291385090497
Cc1cc(C(CCN2CCOCC2)c2ccc(Cl)cc2)cc(C)n1,2.8387055610196272
CC(OCCN1CCCC1)(c1ccccc1)c1ccc(Cl)cc1,3.5641016275865525
CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,3.5522915136188677
COC1C(O)C(C)OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C1O,6.418514468239093
COC1C(OC2OC(CO)C(O)C(O)C2O)C(C)OC(OC2CC3(O)CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C=O)CC2OC(C)=O)C1OC(C)=O,5.923708641308262
CCCCNC(=N)N=C(N)N,3.870267828554181
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,2.5588736754936936
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,4.304565548220683
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.8098353263621827
CC(C)CC1NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC(=O)C(NC(=O)C(CCN)NC(=O)C(CCO)NC(=O)C(CCN)NC=O)CCNC(=O)C(CCO)NC(=O)C(CCN)NC(=O)C(CCN)NC1=O,4.274509396256033
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.3300802416673125
CC(=O)Nc1nnc(S(N)(=O)=O)s1,2.1707524646630825
COc1ccc2c(c1OC)C13CCN(C)C(C2)C1(O)CCC(O)C3,2.559686556016174
CC(C)(C#N)C(C)(C)C#N,3.772442894207182
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.619180102555757
CCCCCOc1ccc2c(c1)[nH]c1c(C)nccc12,2.826657791875869
CCCCCc1cc[n+](C(c2ccccc2)c2ccccc2)cc1,4.324238543367128
CNC(=O)Oc1ccc([N+](C)(C)C)c(C(C)C)c1,6.701308885228075
CNC(=O)Oc1cccc(C(C)N(C)C)c1,5.34691601836948
CCCCCCOc1ccccc1NC(=O)OCCCN1CCCCCC1,3.575812271650419
CCCCCCCOc1ccccc1NC(=O)OCCCN1CCCCCC1,3.2906666621492806
CCCCCCCCOc1ccccc1NC(=O)OCCCN1CCCCCC1,3.30599051577667
CC(C(=O)c1ccc(Cl)cc1Cl)N(C)C,2.6992118002000063
