curated_smiles,cat_oral_LDLo
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.386099266424924
Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,3.186223421962024
CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.623884412290736
Cc1ccc(C(C)C)cc1O,3.176730648690896
OCCCO,1.4042348666534228
CCCC(O)C=CC=CC=CC#CC#CCCCO,4.567128916820012
CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,2.88978616087735
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,2.475807337909714
CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.559017385654313
CCOC(O)C(Cl)(Cl)Cl,2.5876144444091347
CCSC#N,3.940252441292585
CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,3.5711682471404176
Nc1ccc(Cl)cc1Cl,3.156487503845039
NC(=O)CNc1ccc([As](=O)(O)O)cc1,3.136891715195306
CSC#N,3.9346172570114817
COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1OC1OC(CO)C(O)C(O)C1O,5.073604722580332
O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,2.9948149638613364
O=C(O)O,4.190499779633488
CC1C=CC(=O)O1,2.2927034300803046
C=CCc1cc(OC)c2c(c1)OCO2,2.6817250252060045
Nc1ccc(N)cc1,3.034002429099418
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,5.067932635083476
CCCCCCCCCCCCSC#N,2.104941471631361
CCSCCOP(=S)(OC)OC,3.885155710918416
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.872164045286917
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.728563707923576
CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,4.2664868814616606
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,2.976346921657194
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.606358789810697
C#CC(C)(O)C(O)c1ccccc1,2.94501287855936
CN(C)c1ccc(N)cc1,3.833140734560794
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,2.6884198220027105
N=C1NC(=O)C(c2ccccc2)O1,2.768823025449643
CCN(CC)c1ccc(N)cc1,2.738389411692829
CC1CCC(C(C)C)C(O)C1,2.0177815739588305
OCCN1CCCCC1,2.713332589107148
C1CCC(NC2CCCCC2)CC1,3.5594828915385395
O=C1C=C2C=CC3CC2(O1)C1CCCCN31,2.6380257622661367
COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,3.959569224429557
CCCCCCCCCCCCCCSC#N,1.459907886087446
O=S1c2ccccc2N(CCCN2CCN(CCO)CC2)c2cc(Cl)ccc21,2.623226541043503
CNCCCC12CCC(c3ccccc31)c1ccccc12,2.966002423158862
Oc1ccc2c(O)c(CNC3CCCCC3)ccc2c1CNC1CCCCC1,2.980625944442061
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,5.16124638275252
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,2.9499849240057943
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,3.1428848048980846
O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)O,3.245991115135856
CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,3.2321915398300085
NC(=O)N1CCC(c2ccccc2)CC1,2.708150975764973
CCCCC1(CCCC)C(=O)NC(=O)NC1=O,2.8366911483234243
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,3.190764096185893
CCCCCCCCSC#N,2.812176253069769
CCN(CC)CCNC(=O)COc1cc(OC)c(OC)c(OC)c1,4.1340750587054975
CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1,3.1722554734152237
COc1cc2c(OC3OCC(OC)C(OC)C3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,3.7328125715676856
Clc1ccccc1-c1nc(-c2ccncc2)no1,2.411080711811634
CNc1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(NC)nc(Nc5ccccc5)n4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)n1,3.487897091105539
COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,5.242021852479064
Nc1ccccc1,2.9690849396153576
CCCCC1(CC)C(=O)NC(=O)NC1=O,3.4237556657732573
CCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,2.7893444650436168
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,3.595162105447049
CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,3.5982842642210198
Oc1ccccc1,3.0705596304662643
CC(C)Cc1ccc(C(C)C(=O)NCCO)cc1,2.618665088940315
COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,5.138851930651346
C=C(CCC1(O)OC2CC3C4CCC5CC(OC6OC(C)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CC(OC6OC(C)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)C5(C)C4CCC3C2(C)C1C)COC1OC(CO)C(O)C(O)C1O,3.969327008379088
O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,2.9226195955407905
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.777238273009532
O=C(CF)NNc1ccccc1,5.526781102311152
Cc1ccc(O)c(C(C)(C)C)c1,2.242372236387053
NC(=O)C(c1ccccc1)c1ccccc1,2.3248254983141985
NC(=O)C(O)(c1ccccc1)c1ccccc1,2.6575587309761777
CCN(CC)C(=O)c1nnn(-c2ccccc2)c1C,3.4121664380612664
Cc1c(C(=O)O)nnn1-c1ccccc1,3.432864577490916
Cc1c(C(=O)N(C)C)nnn1-c1ccccc1,3.663269242646836
