curated_smiles,rabbit_subcutaneous_LD50
C[Bi](C)C,3.144907639090028
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.5885809264804167
CN=C=O,2.655900328417373
COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,4.347164073366641
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,3.193795009933485
CN(C)C(=N)N=C(N)N,2.9350603138254923
Cc1cccc(C)c1NC(=O)C1CCCCN1C,3.3501669330614887
CNC(=O)OCc1cccc(COC(=O)NC)n1,1.6875598292562752
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.784764658201306
C=C(C)C1C2OC(=O)C1C1(O)C3OC3C3(CO3)C1(C)C2O,5.286665475082987
C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.47603649984063
CNC(=O)Oc1cc(C)c(C)c(C)c1,1.888170504547528
O=c1[nH]nc(-c2ccncc2)o1,2.610489818125192
CNC(=O)Oc1cccc([N+](C)(C)C)c1,5.905731551050772
CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4,2.991932091738152
CN(C)CCON=C1c2ccccc2CCc2ccccc21,3.769964850949299
c1ccc2c(CC3=NCCN3)cccc2c1,5.032906170037983
CCOC(=O)CSC#N,4.161915766237168
CNC(C)Cc1ccccc1OC,2.823738380145209
O=C(O)Cc1ccc(-c2ccccc2)cc1,2.219633636956903
O=C(O)CC(O)(CC(=O)O)C(=O)O,3.060862888379165
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,3.9548807086458737
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.012024094353904
CCN(CC)CCC1(c2ccccc2)C(=O)Oc2ccccc21,3.09259293350802
CC(N1CCCCC1)C(O)(c1ccccc1)c1ccccc1,3.0725087055931075
CNC(C)CCC=C(C)C,3.145691679221896
CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(O)C1O,2.589195910107388
COP(=S)(OC)SCCNC(C)=O,2.784064267072349
COC(=O)N(CCCl)N=O,3.920551146119845
C=CCc1ccccc1OCC(O)CNC(C)C,3.3140309690075087
CN1C2CCC1CC(OC(=O)C(C)(CO)c1ccccc1)C2,2.879958447964216
CCc1coc2ccccc2c1=O,2.1441356445767425
CCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.770978872186676
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,2.23227549834171
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,3.1616577572653406
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,2.467344637546819
Cc1nccc2c1[nH]c1ccccc12,2.9595803465171504
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,3.616062872105576
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.8644683614673707
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.8554841508822117
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,2.768797425256179
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,2.382166403688036
O=C(Cn1cnnn1)NC1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CSC12,1.7988399853617216
CCOP(C)(=O)SCCN(C(C)C)C(C)C,7.280992761901346
CCN(CC)C(=O)COc1cc2c(O)c3c(O)c(C)c4c(c13)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)N2)O4,2.5110476429655413
CNC(C)C(O)c1ccccc1,3.0006207289040403
COc1cc(C(=O)N(C)C)nn1-c1cccc(Cl)c1,1.747764383326474
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.822129350525481
CC1C2Cc3ccc(O)cc3C1(C)CCN2CCCC(=O)c1ccc(F)cc1,3.706423033299088
CC(C)(C)NCC(O)c1ccccc1Cl,3.142585933286632
CCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.25999516699762
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,1.761010192695719
CC[N+](C)(CC)c1cccc(OC(=O)NC)c1,6.199248570560901
COc1ccc2c3c1OC1C(Cl)CCC4C(C2)N(C)CCC341,3.596436894966092
CNC(=O)Oc1ccccc1C[N+](C)(C)C,4.804812899081721
CCOC(=O)CCCCCCCC(C)F,6.038047612654175
CC(=O)OC1(C(C)=C(C)C(=O)O)CCC2(C)C3CCC4C5CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC31O,4.40399783625606
CCCCCCCCCCCCCCCC(=N)N,2.949256903160629
CN(CC[N+](C)(C)C)CC[N+](C)(C)C,3.104175447846828
C[N+](C)(C)c1cccc(OC(=O)NCc2ccccc2)c1,6.154373753960705
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,2.516195473241978
COc1ccc2c3c1OC1C=CC(O)C4C(C2)N(C)CCC314,2.7135297136181147
CCN1CC2CCC(OC)C34C2CC(C13)C1(O)CC(OC)C2(O)CC4C1C2OC(=O)c1ccccc1,3.647690277020173
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.589161934653761
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,3.5422115056215238
CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,3.188911859441212
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.7602049337107513
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,3.424666068584904
CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,1.5434302349800806
O=C1C(Cl)=C(Cl)C(=O)C23OC12C1CC3C(Cl)C1Cl,1.81687470889078
CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,1.9758980226233385
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.5680275801083763
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,1.8794007921197449
O=CC(O)C1OC(=O)C(O)C1O,1.5737206823437118
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CSC12)c1ccc(O)cc1,2.1880026893800792
CN(CCO)CCCl,4.138649994851645
CCCCCc1cc[n+](C(c2ccccc2)c2ccccc2)cc1,3.956261758072533
CNC(=O)Oc1ccc([N+](C)(C)C)c(C(C)C)c1,6.525217626172393
CC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.234937591125161
CNC(=O)Oc1cccc(C(C)N(C)C)c1,5.34691601836948
CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,1.5280691280010907
